name;classification;province;longitude;latitude;area_type;ownership;district;sub_district;postal_area;postal_address;street_address
Segametsi Mogaetsho Clinic;CLINIC;North West Province;-27,327112;25,980829;RURAL;Facility Owner - Government - Prov;Dr Kenneth Kaunda District Municipality;Maquassi Hills Local Municipality;Lebaleng;;2086 Mogokare street
Oukasie Clinic;CLINIC;North West Province;-25,608114;27,791966;URBAN;Facility Owner - Government - Local;Bojanala Platinum District Municipality;Madibeng Local Municipality;Oukasie;;Vuka Sec Oukasie
Springbok (Dr Van Niekerk) Hospital;DISTRICT HOSPITAL;Northern Cape Province;-29,661243;17,881633;RURAL;Facility Owner - Government - Prov;Namakwa District Municipality;Nama Khoi Local Municipality;;;57 warrr
Opkoms Clinic;CLINIC;Free State Province;-29,14452;26,25227;URBAN;Facility Owner - Government - Local;Mangaung Metropolitan Municipality;Bloemfontein Health sub-District;Heidedal;;Rembrand Cresent, Heidedal
Fezeka NU 3 Clinic;CLINIC;Eastern Cape Province;-32,931768;27,753004;URBAN;Facility Owner - Government - Prov;Buffalo City Metropolitan Municipality;Buffalo City Health sub-District;Mdantsane;;NU 3
Umlazi G Clinic;CLINIC;KwaZulu-Natal Province;-29,952497;30,884915;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;umlazi;;dorothy nyembe
Doornpoort Satellite Clinic;SATELLITE CLINIC;Gauteng Province;-25,6559;28,25141;URBAN;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane North East Health sub-;DASPOORT;.... CLINIC, CNR TALJAART & RIBBENS;AIRPORT ROAD
Nagina Clinic;CLINIC;KwaZulu-Natal Province;-29,870115;30,812235;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Nagina;01 Soni way;01 Soni way
Lekhureng Clinic;CLINIC;Limpopo Province;-23,57325;28,92033;RURAL;Facility Owner - Government - Local;Waterberg District Municipality;Mogalakwena Local Municipality;LEKHURENG;010122 Kalafong Street;
Marble Hall Clinic;CLINIC;Limpopo Province;-24,96662;29,29493;URBAN;Facility Owner - Government - Local;Greater Sekhukhune District Municipality;Ephraim Mogale Local Municipality;;0450 Marble Hall;Japonica Street, 823/824
Merebank Clinic;CLINIC;KwaZulu-Natal Province;-29,953108;30,970279;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Merebank;1 Bombay work;
Settlers Day Hospital;CHC;Eastern Cape Province;-33,307725;26,532283;RURAL;Facility Owner - Government - Prov;Cacadu District Municipality;Makana Health sub-District;Grahamstown;1 Cobden Hospital;
South Rand Hospital;DISTRICT HOSPITAL;Gauteng Province;-26,252571;28,0628;URBAN;Facility Owner - Government - Prov;City of Johannesburg Metropolitan;Johannesburg F Health sub-District;Rosettenville;1 Frairs Road,The Hill;
Reivilo CHC;CHC;North West Province;-27,56684;24,17642;RURAL;Facility Owner - Government - Prov;Dr Ruth Segomotsi Mompati District;Greater Taung Local Municipality;Taung;1 Gereef Street Reivilo;
Bezuidenhoutville Clinic;CLINIC;Eastern Cape Province;-32,68805;26,29813;URBAN;Facility Owner - Government - Local;Amathole District Municipality;Nkonkobe Health sub-District;Adelaide;1 Goliath Meyer Road;
Carletonville Central Clinic;CLINIC;Gauteng Province;-26,35791;27,39726;URBAN;Facility Owner - Government - Local;West Rand District Municipality;Merafong City Local Municipality;Carltonville;1 Halite road;1 Halite road
MS Msimanga Clinic;CLINIC;Mpumalanga Province;-26,961667;29,198742;RURAL;Facility Owner - Government - Prov;Gert Sibande District Municipality;Lekwa Local Municipality;Standerton;1 Hlongwane Drive, Standerton;
Thabazimbi Clinic;CLINIC;Limpopo Province;-24,6064;27,39007;RURAL;Facility Owner - Government - Prov;Waterberg District Municipality;Thabazimbi Local Municipality;Thabazimbi;1 Hubiscus Street, Thabazimbi;
Dordrecht Clinic;CLINIC;Eastern Cape Province;-31,377304;27,047887;URBAN;Facility Owner - Government - Prov;Chris Hani District Municipality;Emalahleni Health sub-District;Dordrecht;1 Klip Sreet Dordrecht 5435;1 Klip Sreet Dordrecht
La Lucia Clinic;CLINIC;KwaZulu-Natal Province;-29,754598;31,062797;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;la lucia;1 library lane;
Noordgesig Prov Clinic;CLINIC;Gauteng Province;-26,22547;27,936081;URBAN;Facility Owner - Government - Prov;City of Johannesburg Metropolitan;Johannesburg D Health sub-District;Noordgesig;1 Main road;
Lingelihle Clinic;CLINIC;Eastern Cape Province;-32,180253;25,6291;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Inxuba Yethemba Health sub-District;Cerdock;1 Makwemba street;1 Makwemba Street
Reservoir Hills Clinic;CLINIC;KwaZulu-Natal Province;-29,803137;30,952156;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Reservoir Hills,;1 Riddick Road, Reservoir Hills,;1 Riddick Road,
National Hospital Gateway Clinic;CLINIC;Free State Province;-29,12818;26,20703;URBAN;Facility Owner - Government - Prov;Mangaung Metropolitan Municipality;Bloemfontein Health sub-District;Willows;1 Rok Avenue, Willows;
Rosettenville Clinic;CLINIC;Gauteng Province;-26,244888;28,053884;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg F Health sub-District;Rosettenville;1 Rose Street Rosettenville;
Alexandria Clinic;CLINIC;Eastern Cape Province;-33,651166;26,413786;RURAL;Facility Owner - Government - Prov;Cacadu District Municipality;Makana Health sub-District;Alexandria;1 Sending street;
Chromite Clinic;CLINIC;Limpopo Province;-24,78526;27,28994;RURAL;Facility Owner - Government - Prov;Waterberg District Municipality;Thabazimbi Local Municipality;Northam;1 Sikwanest, Chromite;
Lephoi Clinic;CLINIC;Free State Province;-30,504777;25,975274;RURAL;Facility Owner - Government - Prov;Xhariep District Municipality;Kopanong Local Municipality;;1 south street;1 south street
Badplaas CHC;CHC;Mpumalanga Province;-25,9541;30,57177;RURAL;Facility Owner - Government - Local;Gert Sibande District Municipality;Albert Luthuli Local Municipality;Badplaas;1-3 Robertson Street, Badplaas;
Nellmapius Clinic;CLINIC;Gauteng Province;-25,73672;28,35031;URBAN;Facility Owner - Government - Local;City of Tshwane Metropolitan Municipality;Tshwane 6 Health sub-District;Nellmapius;10 Loriesfontein street, Ext 1;10 Loriesfontein street, Ext 1
Olifantsfontein Clinic;CLINIC;Gauteng Province;-25,956484;28,22838;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni North 1 Health sub-District;Ekurhuleni;10 Pearle Street Olifantsfontein;
Danville Clinic;CLINIC;Gauteng Province;-25,74772;28,13359;URBAN;;City of Tshwane Metropolitan Municipality;Tshwane 3 Health sub-District;DANVILLE;10 TRANS ORANGE ROAD;10 TRANS ORANGE ROAD, DANVILLE
Randgate Clinic;CLINIC;Gauteng Province;-26,16919;27,68361;URBAN;Facility Owner - Government - Prov;West Rand District Municipality;Randfontein Local Municipality;Randgate;100 van der Venter street;100 Van der Venter street
Shanty Clinic;CLINIC;Gauteng Province;-26,229067;27,917413;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg D Health sub-District;Orlando West;1000 Armitage road;1000 Armitage road
Spitspunte Clinic;CLINIC;Limpopo Province;-24,9689;28,92894;RURAL;Facility Owner - Government - Prov;Greater Sekhukhune District Municipality;Ephraim Mogale Local Municipality;Spitspunte,;1001 Main Street,;
Phola Park CHC;CHC;Gauteng Province;-26,371772;28,132076;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 2 Health sub-District;Thokoza;10054 Mzimkhu Street;10054 Mzimkhu Street
Phekolong (Reddersburg) Clinic;CLINIC;Free State Province;-29,652603;26,166094;RURAL;Facility Owner - Government - Local;Xhariep District Municipality;Kopanong Local Municipality;reddersburg;1018 phekolong street reddersburg;
Matatiele Municipality Clinic;CLINIC;Eastern Cape Province;-30,333313;28,808658;RURAL;Facility Owner - Government - Prov;Alfred Nzo District Municipality;Maluti Health sub-District;Matatiele;102 Jagger Street;
Lethabong Clinic;CLINIC;Gauteng Province;-26,222561;28,296589;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni North 2 Health sub-District;Benoni;1030 Dlamini Nkosi Wattville;1030 Dlamini Nkosi Wattville
Bophelong (Kroonstad) Clinic;CLINIC;Free State Province;-27,634798;27,189161;URBAN;Facility Owner - Government - Local;Fezile Dabi District Municipality;Moqhaka Local Municipality;KROONSTAD;10368 SNAKE PARK KROONSTAD;NO NAME
Marantha Clinic;CLINIC;Free State Province;-28,68743;26,462688;RURAL;Facility Owner - Government - Prov;Lejweleputswa District Municipality;Masilonyana Local Municipality;brandfort;1063 segalo streeet;
Letlhabile CHC;CHC;North West Province;-25,486949;27,842306;URBAN;Facility Owner - Government - Prov;Bojanala Platinum District Municipality;Madibeng Local Municipality;Brits;1069 Block A;
Relebohile (Rosendal) Clinic;CLINIC;Free State Province;-28,509234;27,923094;RURAL;Facility Owner - Government - Prov;Thabo Mofutsanyane District Municipality;Dihlabeng Local Municipality;Rosendal;109 mautse rosendal;109 mautse rosendal
Lesedi Clinic;CLINIC;Free State Province;-28,247847;29,105476;RURAL;Facility Owner - Government - Prov;Thabo Mofutsanyane District Municipality;Maluti a Phofung Local Municipality;harrismith;1090 intabazwe;
Johan Deo Clinic;CLINIC;Gauteng Province;-26,60141;27,80894;RURAL;Facility Owner - Government - Prov;Sedibeng District Municipality;Emfuleni Local Municipality;Sebokeng;1098 Polokong Sebokeng;1098 Polokong Sebokeng
Clermont Clinic;CLINIC;KwaZulu-Natal Province;-29,795223;30,892895;RURAL;Facility Owner - Government - Prov;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Clermont;1106 12th Street;
Dark City CHC;CHC;Gauteng Province;-25,674777;28,726485;RURAL;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 7 Health sub-District;Ekangala;1107 setion F,Dark city,Ekangala;
Harry Gwala (Sasolburg) Clinic;CLINIC;Free State Province;-26,850036;27,878969;RURAL;Facility Owner - Government - Prov;Fezile Dabi District Municipality;Metsimaholo Local Municipality;sasolburg;11176 joe modise street;11176 joe modise street
Thembelisha Clinic;CLINIC;Gauteng Province;-26,308314;28,406892;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni East 2 Health sub-District;Kina-Thema;11377 Motlhaping Street;11377 Motlhaping Street
Magagula Clinic;CLINIC;Gauteng Province;-26,427584;28,191513;URBAN;Facility Owner - Government - Prov;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 2 Health sub-District;Katlehong;114 Seboka Street;114 Seboka Street Magagula Katlehong
Venterspos Clinic;CLINIC;Gauteng Province;-26,27367;27,62203;URBAN;Facility Owner - Government - Local;West Rand District Municipality;Westonaria Local Municipality;Venterspost;115 Carlton street;115 Carlton street
Sedibeng sa Bophelo Clinic;CLINIC;Free State Province;-27,945436;27,553952;RURAL;Facility Owner - Government - Prov;Fezile Dabi District Municipality;Moqhaka Local Municipality;STEYNSRUS;1152WANGTLWANG STEYNSRUS;
Vischuil Clinic;CLINIC;Gauteng Province;-26,2993;28,58501;RURAL;Facility Owner - Government - Local;Sedibeng District Municipality;Lesedi Local Municipality;Endicott;116 Melman Road;116 Melman Road Endicott
Kekana Gardens Clinic;CLINIC;Gauteng Province;-25,378319;28,308393;RURAL;Facility Owner - Government - Local;City of Tshwane Metropolitan Municipality;Tshwane 2 Health sub-District;Hammanskraal;1161 Alexandra section;1161 Alexandra section
Refilwe Clinic;CLINIC;Gauteng Province;-25,6378;28,530663;URBAN;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 5 Health sub-District;Cullinan;1165 Masina drive;
Dukathole Clinic;CLINIC;Gauteng Province;-26,22604;28,190854;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 1 Health sub-District;Germiston;1166 Van Lingen Street,Dukathole;
Newhaven Hospital;SPECIALISED CHRONIC HOSPITAL;Eastern Cape Province;-32,98286;27,90592;URBAN;Facility Owner - Government - Prov;Buffalo City Metropolitan Municipality;Buffalo City Health sub-District;Vincent;12 Cavendish Road, East London,;12 Cavendish Road,
Van Dyk Park Clinic;CLINIC;Gauteng Province;-26,257122;28,292799;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni North 2 Health sub-District;Boksburg;12 Kremetart Street Van Dyk Park;
Groot Marico Clinic;CLINIC;North West Province;-25,599674;26,419053;RURAL;Facility Owner - Government - Prov;Ngaka Modiri Molema District Municipality;Ramotshere Moiloa Local Municipality;Zeerust;12 Vortrekker str GrootMarico 2850;12 Voortrekker str GrootMarico
Nolukhanyo Clinic;CLINIC;Eastern Cape Province;-33,493656;26,831371;RURAL;Facility Owner - Government - Prov;Cacadu District Municipality;Makana Health sub-District;Bathurst;1213 Lungisani road;1213 Lungisani road
Elandskraal Clinic;CLINIC;Limpopo Province;-24,714006;29,412109;RURAL;;Greater Sekhukhune District Municipality;Ephraim Mogale Local Municipality;;1216 Mable Hall Ouso;667 Elandskraal
Promosa CHC;CHC;North West Province;-26,702126;27,030932;URBAN;Facility Owner - Government - Prov;Dr Kenneth Kaunda District Municipality;Tlokwe Local Municipality;Pomosa;121Daisy str Kleurport street;121Daisy str Kleurport street
Ekangala Clinic;CLINIC;Gauteng Province;-25,697721;28,752589;URBAN;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 7 Health sub-District;Ekangala;1227 section D,Ekangala;
Masilo Clinic;CLINIC;Free State Province;-28,40988;26,70712;RURAL;Facility Owner - Government - Prov;Lejweleputswa District Municipality;Masilonyana Local Municipality;theunissen;1246 columbong street;
Orange Farm Ext 7 Clinic;CLINIC;Gauteng Province;-26,481881;27,848239;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg G Health sub-District;Orange Farm;12481 Ext 7a Orange Farm;12481 Ext 7a Orange Farm
Boikhutsong Clinic;CLINIC;Gauteng Province;-25,44835;28,1125;URBAN;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 1 Health sub-District;;1266-T;1266-T
Bophelo Clinic;CLINIC;North West Province;-27,178729;26,112643;URBAN;Facility Owner - Government - Local;Dr Kenneth Kaunda District Municipality;Maquassi Hills Local Municipality;Wolmaransstad;129 Mokwatsi str Witpoort;129 Mokwatsi str Witpoort
Zola Gateway Clinic;CLINIC;Gauteng Province;-26,239482;27,854006;URBAN;Facility Owner - Government - Prov;City of Johannesburg Metropolitan;Johannesburg D Health sub-District;Jabulani;1290 Bolanti Road;
Bekkersdal East Clinic;CLINIC;Gauteng Province;-26,28345;27,70399;RURAL;Facility Owner - Government - Local;West Rand District Municipality;Westonaria Local Municipality;Bekkersdal;1298 Kgomoetlhaba street;1298 Kgomoetlhaba street
Sydenham Heights Clinic;CLINIC;KwaZulu-Natal Province;-29,827214;30,981558;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Sydenham;13 Ripon road;
Riverlea Major Clinic;CLINIC;Gauteng Province;-26,212495;27,976416;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg B Health sub-District;Riverlia;130 Coloroda drive;130 Colorado drive
Bluff Clinic;CLINIC;KwaZulu-Natal Province;-29,90041;31,025825;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Bluff;1302 Bluff Road;1302 Bluff road
Elias Motsoaledi Clinic;CLINIC;Gauteng Province;-26,21833;27,915648;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg D Health sub-District;Orlando;13149 Carr str.;13149 Carr str.
Masakhane Clinic;CLINIC;Northern Cape Province;-28,701975;24,733245;URBAN;Facility Owner - Government - Local;Frances Baard District Municipality;Sol Plaatjie Local Municipality;Bloemanda;13290 Thutlo Street, Bloemanda;Masakhane clinic, 13290 Thutlo street, Bloemanda
Thembelihle Clinic;CLINIC;Gauteng Province;-26,34063;27,86636;URBAN;Facility Owner - Government - Prov;City of Johannesburg Metropolitan;Johannesburg G Health sub-District;Lenasia;136 Volka Street Lenasia;
Kabokweni CHC;CHC;Mpumalanga Province;-25,343473;31,130313;RURAL;Facility Owner - Government - Local;Ehlanzeni District Municipality;Mbombela Local Municipality;Kabokweni;1362 Kabokweni Kabokweni main road;
Tswelelang 2 CHC;CHC;North West Province;-27,230005;25,979646;RURAL;Facility Owner - Government - Prov;Dr Kenneth Kaunda District Municipality;Maquassi Hills Local Municipality;Wolmaranstad;1365Tamb Twelelang location;
Sol Plaatjies Clinic;CLINIC;Gauteng Province;-26,162742;27,86061;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg C Health sub-District;Roodepoort;1407 Durban deep;1407 Durban deep
Mofolo CHC;CHC;Gauteng Province;-26,248316;27,884022;URBAN;Facility Owner - Government - Prov;City of Johannesburg Metropolitan;Johannesburg D Health sub-District;Soweto;1415 Elias Motsoaledi Road;1415 Elias Motsoaledi Road
Tladi LA Clinic;CLINIC;Gauteng Province;-26,25036;27,84012;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg D Health sub-District;Kwa-Xuma,Soweto;144 Babinaphuthi str;144 Babinaphuthi str
Boiki Thlapi CHC;CHC;North West Province;-26,717884;27,056361;URBAN;Facility Owner - Government - Prov;Dr Kenneth Kaunda District Municipality;Tlokwe Local Municipality;Ikageng;144453 Rata steet;
Nomonde Clinic;CLINIC;Eastern Cape Province;-31,385671;26,359538;URBAN;Facility Owner - Government - Prov;Chris Hani District Municipality;Lukhanji Health sub-District;Molteno;1467 Monde Street;1467 Monde Street
Vosloorus Ext 9 Clinic;CLINIC;Gauteng Province;-26,348032;28,218515;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 1 Health sub-District;Vosloorus;147 Sam Sekoati Street Marimiba,Ext 9;
Albertina Sisulu Clinic;CLINIC;Gauteng Province;-26,57697;27,84864;RURAL;Facility Owner - Government - Local;Sedibeng District Municipality;Emfuleni Local Municipality;Vanderbijlpark;14863 Zone 11 Sebokeng;14863 Zone 11 Sebokeng
Waterfall Clinic;CLINIC;KwaZulu-Natal Province;-29,749316;30,818257;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;waterfall;15 link road;
Deneysville Clinic;CLINIC;Free State Province;-26,89089;28,097169;RURAL;Facility Owner - Government - Local;Fezile Dabi District Municipality;Metsimaholo Local Municipality;deneyville;15 main ser deneyville;15 main ser deneyville
Rex Street Clinic;CLINIC;Gauteng Province;-26,158861;27,865276;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg C Health sub-District;Roodepoort;15 Rex street;15 Rex street
Blyvooruitsig Clinic;CLINIC;Gauteng Province;-26,39638;27,37695;URBAN;Facility Owner - Government - Prov;West Rand District Municipality;Merafong City Local Municipality;Carltonville;15-19th Avenue;15-19th Avenue
Lawley Clinic;CLINIC;Gauteng Province;-26,391423;27,81197;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg G Health sub-District;Lawley 1;1501 Cnr Barracida and Mackerer Street;1501 Cnr Barracida and Mackerer Street
Nkwenkwezi Clinic;CLINIC;Eastern Cape Province;-33,577391;26,892501;RURAL;Facility Owner - Government - Prov;Cacadu District Municipality;Makana Health sub-District;Port Alfred;1557 Runeli Drive;1557 Runeli drive
Vaal Rock Clinic;CLINIC;Free State Province;-28,68152;26,46135;RURAL;Facility Owner - Government - Prov;Lejweleputswa District Municipality;Masilonyana Local Municipality;Brandfort;1558 Segalo Street;
Noordheuwel Satellite Clinic;SATELLITE CLINIC;Gauteng Province;-26,0896;27,80777;RURAL;Facility Owner - Government - Local;West Rand District Municipality;Mogale City Local Municipality;Noordheuwel,;1568 Corner Hoffnaar and Ludhersch;
Schonkenville Clinic;CLINIC;Free State Province;-26,933283;27,462363;RURAL;;Fezile Dabi District Municipality;Ngwathe Local Municipality;SCHONKENVILLE;158SCHONKENVILLE;158 SCHONKENVILLE
Jeppe Street Clinic;CLINIC;Gauteng Province;-26,20617;28,06758;URBAN;Facility Owner - Government - Prov;City of Johannesburg Metropolitan;Johannesburg F Health sub-District;Marshaltown;159 Jeppe and Joubert Street Clinic;159 Jeppe Street Clinic
Tholusizo Clinic;CLINIC;KwaZulu-Natal Province;-28,736713;29,838567;RURAL;Facility Owner - Government - Prov;Uthukela District Municipality;Emnambithi Local Municipality;Ladysmith;159 Nelson Mandela Str;159 Nelson mandela Str
Tladi Prov Clinic;CLINIC;Gauteng Province;-26,254048;27,841512;URBAN;Facility Owner - Government - Prov;City of Johannesburg Metropolitan;Johannesburg D Health sub-District;Soweto;1592 Legwale street;1592 Legwale street
Zonkizizwe 1 Clinic;CLINIC;Gauteng Province;-26,406878;28,187144;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 2 Health sub-District;Zonkizizwe Katlehong;1599 Zone 4 Zonkizizwe;1599 Zone 4 Zonkizizwe
Swartklip Clinic;CLINIC;Limpopo Province;-24,937811;27,155749;URBAN;Facility Owner - Government - Prov;Waterberg District Municipality;Thabazimbi Local Municipality;Swartklip;16 Hospital, Swartklip;
Newlands West Clinic;CLINIC;KwaZulu-Natal Province;-29,779087;30,95483;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Newlands West;16 Loopwest,Crescent;16 Loopwest Crescent
Kamohelo Clinic;CLINIC;Free State Province;-28,531027;27,001763;RURAL;Facility Owner - Government - Prov;Lejweleputswa District Municipality;Masilonyana Local Municipality;winburg;16114 lovedale makeleketta;16114 lovedale makeleketta
Redhill Clinic;CLINIC;KwaZulu-Natal Province;-29,777967;31,020262;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;;162 effinghan road rehill;
Maki Legwete Clinic;CLINIC;Gauteng Province;-26,17901;27,78618;URBAN;Facility Owner - Government - Prov;West Rand District Municipality;Mogale City Local Municipality;Kagiso;16218 Geba Street Kagiso Ext 12;16218 Geba Street Kagiso Ext 12
Luganda Clinic;CLINIC;KwaZulu-Natal Province;-29,888276;30,80376;RURAL;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Lugada;16310 Lugada Road,;
Ikhutseng (Klipgat) Clinic;CLINIC;North West Province;-25,451679;27,97006;RURAL;Facility Owner - Government - Local;Bojanala Platinum District Municipality;Madibeng Local Municipality;Klipgat;1651 B Klipgat;
Lefiso CHC;CHC;Mpumalanga Province;-24,93552;28,892597;RURAL;Facility Owner - Government - Prov;Nkangala District Municipality;Dr JS Moroka Local Municipality;Skilpadfontein;1691A Letsoalo Section;1691A, Letsoalo Section
17 Esselen Street Clinic;CLINIC;Gauteng Province;-26,190896;28,044939;URBAN;Facility Owner - Government - Prov;City of Johannesburg Metropolitan;Johannesburg F Health sub-District;Hillbrow;17 Esselen Street;17 Esselen Street
Elandsfontein Clinic;CLINIC;Mpumalanga Province;-24,621798;30,761791;RURAL;Facility Owner - Government - Local;Ehlanzeni District Municipality;Thaba Chweu Local Municipality;Graskop;171 Matibidi, Elandsfontein;
Meqheleng Clinic;CLINIC;Free State Province;-28,889958;27,877124;RURAL;Facility Owner - Government - Prov;Thabo Mofutsanyane District Municipality;Setsoto Local Municipality;FICKSBURG;1715 MEQHELENG;1715 MEQHELENG
Andries Raditsela Clinic;CLINIC;Gauteng Province;-26,33434;28,38866;URBAN;Facility Owner - Government - Prov;Ekurhuleni Metropolitan Municipality;Ekurhuleni East 2 Health sub-District;Langaville;1718 Phooko Drive Ext3 Langaville;1718 Phooko Drive Ext3 Langaville
Excelsior Clinic;CLINIC;Free State Province;-28,93298;27,0566;RURAL;Facility Owner - Government - Prov;Thabo Mofutsanyane District Municipality;Mantsopa Local Municipality;Excelstor;174 North Street;
Folang Clinic;CLINIC;Gauteng Province;-25,74971;28,174;URBAN;Facility Owner - Government - Local;City of Tshwane Metropolitan Municipality;Tshwane 3 Health sub-District;PRETORIA WEST;175 D F MALAN DRIVE;
Chiawelo CHC;CHC;Gauteng Province;-26,279299;27,865437;URBAN;Facility Owner - Government - Prov;City of Johannesburg Metropolitan;Johannesburg D Health sub-District;Chiawelo;1753 Rihlaphy;1753 Rihlaphy
Khumalo Clinic;CLINIC;Gauteng Province;-26,383657;28,161972;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 2 Health sub-District;;181 Sentonga Street Siluma Section;181 Setonga Street Siluma Section
Wyebank Clinic;CLINIC;KwaZulu-Natal Province;-29,77072;30,876689;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Wyebank;181 Wyebank Rd;181 Wyebank Rd
Kokosi Clinic;CLINIC;Gauteng Province;-26,49437;27,46834;URBAN;Facility Owner - Government - Prov;West Rand District Municipality;Merafong City Local Municipality;Fochville;183 Ben Shiburi street;183 Ben Shiburi street
Soshanguve CHC;CHC;Gauteng Province;-25,49123;28,09431;URBAN;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 1 Health sub-District;SOSHANGUVE;1834 BB, SOSHANGUVE;
